paper_id,title,year,venue,task,modalities,align_full_hidden,align_layerwise,align_residual_updates,learn_layer_mapping,monotonic_constraint,multi_branch,extra_inference_cost,teacher_frozen,code_available,closest_overlap,novelty_risk,notes,url
R03,Universal-KD: Attention-based Output-Grounded Intermediate Layer Knowledge Distillation,2021,EMNLP,Knowledge distillation,text,1,1,0,1,0,1,0,1,0,Cross-architecture layer alignment,high,ACL Anthology page checked,https://aclanthology.org/2021.emnlp-main.603/
R04,Marginal Utility Diminishes: Exploring the Minimum Knowledge for BERT Knowledge Distillation,2021,ACL,Knowledge distillation,text,1,1,0,0,0,1,0,1,0,Controls benefit of extra layer supervision,high,ACL Anthology page checked,https://aclanthology.org/2021.acl-long.228/
R05,Patient Knowledge Distillation for BERT Model Compression,2019,EMNLP-IJCNLP,Knowledge distillation,text,1,1,0,1,0,1,0,1,1,Earlier multi-layer distillation,high,Included as pre-2020 historical anchor,https://aclanthology.org/D19-1441/
R06,Intermediate Layer Distillation with the Reused Teacher Classifier,2024,Findings EMNLP,Knowledge distillation,text,1,1,0,1,0,1,0,1,0,Normalized hidden alignment and layer selection,high,Paper PDF checked,https://aclanthology.org/2024.findings-emnlp.422/
R07,What Mechanisms Does Knowledge Distillation Distill?,2024,UniReps PMLR,Mechanistic distillation analysis,multiple,0,0,0,0,0,1,0,1,0,Jacobian and geometry alternative,high,Proceedings page checked,https://proceedings.mlr.press/v243/wu24a.html
R08,Beyond Logits: Aligning Feature Dynamics for Effective Knowledge Distillation,2025,ACL,Knowledge distillation,text,1,1,1,1,0,1,0,1,0,Direct first-order adjacent-layer delta matching,critical,Full official paper and equations checked; direct method overlap,https://aclanthology.org/2025.acl-long.1125/
R09,C2KD: Cross-layer and Cross-head Knowledge Distillation for Large Language Models,2025,Findings ACL,Knowledge distillation,text,1,1,0,1,0,1,0,1,0,Learned cross-layer alignment,high,ACL paper checked,https://aclanthology.org/2025.findings-acl.917/
R10,TALAS: Teacher-Anchored Layer Alignment with Adaptive Supervision,2026,ACL,Knowledge distillation,text,1,1,0,1,0,1,0,1,0,Adaptive layer mapping,high,Official ACL PDF checked,https://aclanthology.org/2026.acl-long.1509/
B01,Toward a realistic model of speech processing in the brain with self-supervised learning,2022,NeurIPS,Brain encoding,speech fMRI,1,1,0,0,0,1,0,1,1,Model-depth cortical hierarchy,high,Proceedings paper checked,https://proceedings.neurips.cc/paper_files/paper/2022/hash/d81ecfc8fb18e833a3fa0a35d92532b8-Abstract-Conference.html
B02,Dissecting neural computations in the human auditory pathway using deep neural networks for speech,2023,Nature Neuroscience,Brain encoding,speech EEG ECoG animal neural,1,1,0,0,0,1,0,1,0,HuBERT layer and auditory-pathway hierarchy,high,Full text checked,https://www.nature.com/articles/s41593-023-01468-4
B03,Evidence of a predictive coding hierarchy in the human brain listening to speech,2023,Nature Human Behaviour,Brain encoding,speech fMRI text,1,1,0,0,0,1,0,1,1,Cortical hierarchy but not network residuals,medium,Full text checked,https://www.nature.com/articles/s41562-022-01516-2
B04,Shared functional specialization in transformer-based language models and the human brain,2024,Nature Communications,Brain encoding,text fMRI,1,1,1,0,0,1,0,1,0,Analyzes layer transformations and first differences,critical,Full text checked; transformation analysis raises overlap risk,https://www.nature.com/articles/s41467-024-49173-5
B05,Temporal structure of natural language processing in the human brain corresponds to layered hierarchy of large language models,2025,Nature Communications,Brain encoding,speech ECoG text,1,1,0,0,0,1,0,1,0,Depth-time hierarchy evidence,high,Full text checked,https://www.nature.com/articles/s41467-025-65518-0
M01,Matryoshka Representation Learning,2022,NeurIPS,Adaptive representation learning,vision text,1,0,0,0,0,1,0,NA,1,Coarse-to-fine nested embedding baseline,high,Proceedings paper and supplement checked,https://proceedings.neurips.cc/paper_files/paper/2022/hash/c32319f4868da7613d78af9993100e42-Abstract-Conference.html
M02,Learning Ordered Representations with Nested Dropout,2014,ICML,Ordered representation learning,multiple,1,0,0,0,0,1,0,NA,1,Historical ordered representation anchor,medium,Pre-2020 historical anchor,https://proceedings.mlr.press/v32/rippel14.html
M03,Matryoshka Multimodal Models,2024,NeurIPS Workshop on Video-Language Models,Multimodal token compression,image text,1,0,0,0,0,1,0,NA,0,Nested coarse-to-fine tokens,medium,OpenReview page checked,https://openreview.net/forum?id=ii17KMFtmI
M04,Matryoshka Query Transformer for Large Vision-Language Models,2024,NeurIPS,Vision-language token compression,image text,1,0,0,0,0,1,0,NA,0,Nested visual token count,medium,OpenReview page checked,https://openreview.net/forum?id=B1vGiSgELw
M05,Train Once Deploy Anywhere: Matryoshka Representation Learning for Multimodal Recommendation,2024,Findings EMNLP,Recommendation,multiple,1,0,0,0,0,1,0,NA,0,Multimodal nested representation baseline,medium,ACL Anthology page checked,https://aclanthology.org/2024.findings-emnlp.786/
